iteration,validation_score
0,1.8174561604985238
1,1.5483970657300934
2,1.3521939000557475
3,1.1900043801201508
4,1.056856276071755
5,0.9432717565119829
6,0.8455743825032491
7,0.761499146625752
8,0.6866000025609046
9,0.6205799254096692
10,0.5617546903506481
11,0.5089893068069035
12,0.4617452872308655
13,0.41929286326185744
14,0.3809697309998991
15,0.3464478673293727
16,0.3152285061065523
17,0.28693616737297817
18,0.2613159251862714
19,0.23808249902240644
20,0.2169270288695638
21,0.1976910043106016
22,0.18042655156006213
23,0.16451579516233136
24,0.15008196373403285
25,0.13693387815467895
26,0.12493180536850178
27,0.11408696824328327
28,0.10411281499513356
29,0.09503132411459893
30,0.08674169759505712
31,0.07919673271196526
32,0.07229536044782263
33,0.06599530163337733
34,0.06027519841157804
35,0.05505630625269974
36,0.0502810465290065
37,0.04591405953644435
38,0.04193709709731976
39,0.03830848512782301
40,0.03503329006022086
41,0.03201913914987387
42,0.029260410990701397
43,0.026736938203605166
44,0.02442752039220154
45,0.022325183350399534
46,0.02040485161654409
47,0.018645256425492078
48,0.017040070475141045
49,0.015568295954709228
50,0.014234286762122716
51,0.013021486335129798
52,0.011914128428027866
53,0.01089395630479768
54,0.009965214610923673
55,0.009127768804569598
56,0.008355697908944953
57,0.00765080025708809
58,0.007005833122341635
59,0.006410716407573866
60,0.005867819191087449
61,0.005372311968524103
62,0.004916884900427812
63,0.004499474837706664
64,0.004121297784468289
65,0.003772977762516027
66,0.003454602931542344
67,0.0031652304406869073
68,0.002903092479578022
69,0.002661757604530133
70,0.002440820986300436
71,0.002237403374717191
72,0.0020498097778481683
73,0.0018807503798952997
74,0.0017237774532342116
75,0.001581256926433884
76,0.0014515256719904654
77,0.001330547875782688
78,0.0012223023413419666
79,0.001123581261210101
80,0.0010331403539662527
81,0.0009512074203456406
82,0.0008759146033787537
83,0.000805171064339748
84,0.0007407791360429046
85,0.0006819312381470435
86,0.000629254519912101
87,0.0005810518552933021
88,0.0005352481869471357
89,0.0004969263945728482
90,0.000459159953687273
91,0.00042649632240040705
92,0.000395573566151882
93,0.0003656606986325311
94,0.00034000402954807534
95,0.0003150815950337966
96,0.00029277433670916835
97,0.00027223914761049617
98,0.00025448141700098797
99,0.00023751168314041932
100,0.00022210739935152066
101,0.0002073579601119991
102,0.00019437382557189559
103,0.00018137563807423554
104,0.00016997156702126421
105,0.0001594732171568682
106,0.0001500190430734896
107,0.00014158813774651065
108,0.00013299330076611455
109,0.0001253106374069966
110,0.00011819812332207127
111,0.00011157048658001274
112,0.00010546352828972776
113,0.00010020553615650866
114,9.510863155549597e-05
115,9.049148086543461e-05
116,8.657481573763044e-05
117,8.23668913044629e-05
118,7.867711298649292e-05
119,7.511100962317978e-05
120,7.17694266595302e-05
121,6.847074671784144e-05
122,6.563471755262818e-05
123,6.279337051955303e-05
124,6.030487707161411e-05
125,5.838641958145239e-05
126,5.618844103132936e-05
127,5.423891941236432e-05
128,5.251579554280225e-05
129,5.066080034504145e-05
130,4.918381302766216e-05
131,4.7931073206928284e-05
132,4.641725835369771e-05
133,4.5075267428866864e-05
134,4.385545103466742e-05
135,4.261671517167628e-05
136,4.152367541607686e-05
137,4.062024983032143e-05
138,3.961354701396497e-05
139,3.872008368210362e-05
140,3.78018702207885e-05
141,3.7065233245355835e-05
142,3.6254623597659414e-05
143,3.551833215238741e-05
144,3.482093652944051e-05
145,3.421610123052753e-05
146,3.3644218304435454e-05
147,3.302536694829379e-05
148,3.2484554244563245e-05
149,3.1998941226501145e-05
150,3.140668826087374e-05
151,3.091930409032224e-05
152,3.0425311813848885e-05
153,3.0028959724729895e-05
154,2.9636538691055334e-05
155,2.9231028271490365e-05
156,2.8938256408484993e-05
157,2.8587559208057887e-05
158,2.82756490550961e-05
159,2.7985421010258103e-05
160,2.7688200176282824e-05
161,2.740613335637373e-05
162,2.71567668601945e-05
163,2.69642625748132e-05
164,2.6745346025162034e-05
165,2.6488628320786487e-05
166,2.628505454752003e-05
167,2.608079572291497e-05
168,2.594656424777894e-05
169,2.5802908902177288e-05
170,2.5625057447218528e-05
171,2.5486769100243835e-05
172,2.5363925466196276e-05
173,2.5231482444879164e-05
174,2.5073312057123592e-05
175,2.4909192964762318e-05
176,2.4808974615316772e-05
177,2.468319471399436e-05
178,2.457415700364322e-05
179,2.441684091664735e-05
180,2.4328840793105168e-05
181,2.4186513409296452e-05
182,2.407170810617505e-05
183,2.3953079042636954e-05
184,2.3871741597099287e-05
185,2.3781118099263748e-05
186,2.3713236370432547e-05
187,2.3644380615467318e-05
188,2.3577231950936022e-05
189,2.350369068065455e-05
190,2.3440194243694252e-05
191,2.3394869222696895e-05
192,2.3300662513033936e-05
193,2.321564759710333e-05
194,2.3157466642748557e-05
195,2.3103831906289992e-05
196,2.305316830186024e-05
197,2.3032520757373166e-05
198,2.2982121046688973e-05
199,2.291104603894914e-05
200,2.286782088080465e-05
201,2.284145347730312e-05
202,2.2813022649270246e-05
203,2.2777700128319736e-05
204,2.272454056811157e-05
205,2.2695665787403154e-05
206,2.264980889098322e-05
207,2.259027310061602e-05
208,2.258095618661411e-05
209,2.2561721435602904e-05
210,2.253640402941441e-05
211,2.249646296735427e-05
212,2.2421067192645586e-05
213,2.2412311303300017e-05
214,2.2390104928185116e-05
215,2.2335922071407182e-05
216,2.2330090979807877e-05
217,2.2296389239721565e-05
218,2.2288058565268097e-05
219,2.225518544195275e-05
220,2.2240012785550847e-05
221,2.219722334885262e-05
222,2.218609777662451e-05
223,2.2131211530255116e-05
224,2.208292461085728e-05
225,2.203346666530871e-05
226,2.2019704618239146e-05
227,2.1990674148375688e-05
228,2.1973598284430232e-05
229,2.1956332853305744e-05
230,2.1919241850814252e-05
231,2.191069447413494e-05
232,2.1892125905826973e-05
233,2.1847063371615372e-05
234,2.1843077789971886e-05
235,2.1823557714742e-05
236,2.1795555007456345e-05
237,2.1790293858665804e-05
238,2.1758106312460856e-05
239,2.1731456065534312e-05
240,2.1716028075822124e-05
241,2.168945537124487e-05
242,2.166972014292024e-05
243,2.165667026398565e-05
244,2.1631143019261764e-05
245,2.1608285122390176e-05
246,2.15712016844713e-05
247,2.1542604703513382e-05
248,2.150560032179564e-05
249,2.1465691217479144e-05
250,2.1435757073379536e-05
251,2.142657903864779e-05
252,2.1404331397793505e-05
253,2.1384546555434856e-05
254,2.1380499280548168e-05
255,2.1377856231963544e-05
256,2.134536757953761e-05
257,2.1326468632559518e-05
258,2.130476338332691e-05
259,2.1269640025861613e-05
260,2.1236909431611674e-05
261,2.120926916489713e-05
262,2.1205011580788464e-05
263,2.1174158857793518e-05
264,2.1155129395136675e-05
265,2.114976284905176e-05
266,2.1104643702456443e-05
267,2.1104643702456443e-05
268,2.109462906442675e-05
269,2.109140941000702e-05
270,2.1082734744977715e-05
271,2.1049251136615086e-05
272,2.104787191141704e-05
273,2.104222796061567e-05
274,2.1040584501874454e-05
275,2.1033004389065063e-05
276,2.1025638006608766e-05
277,2.1000536143667696e-05
278,2.09980617095579e-05
279,2.099427578574787e-05
280,2.098946406560388e-05
281,2.0965176279627167e-05
282,2.0948021245043553e-05
283,2.0948021245043553e-05
284,2.0918913866500817e-05
285,2.091416279028844e-05
286,2.091181871545409e-05
287,2.0882068126014183e-05
288,2.0877561036206188e-05
289,2.0853097448798497e-05
290,2.0851991297173776e-05
291,2.081255145886447e-05
292,2.0782529095007778e-05
293,2.078177824958159e-05
294,2.0780676740997802e-05
295,2.0777364293853412e-05
296,2.0752361966974183e-05
297,2.0727555208436036e-05
298,2.072557794450373e-05
299,2.072419824042136e-05
300,2.0692639889587926e-05
301,2.0691298335550297e-05
302,2.0690559654387398e-05
303,2.0687173459779665e-05
304,2.0657065809519264e-05
305,2.0634965935292875e-05
306,2.0634150051941222e-05
307,2.0612101503786752e-05
308,2.058604380489342e-05
309,2.058232295207193e-05
310,2.058232295207193e-05
311,2.057602372760136e-05
