feature,importance
id.orig_h,414997
id.resp_h,196763
bwd_data_pkts_tot,146591
bwd_iat.std,124039
fwd_pkts_per_sec,44254
flow_iat.min,37467
bwd_bulk_rate,24348
flow_iat.max,17816
bwd_pkts_per_sec,16701
active.min,8090
down_up_ratio,7919
fwd_header_size_tot,7649
active.max,6577
duration,6080
fwd_header_size_min,4990
fwd_header_size_max,4754
flow_iat.tot,4402
flow_pkts_payload.max,2704
fwd_pkts_payload.tot,2451
fwd_pkts_payload.avg,2364
