feature,importance
frame_time_relative,3792
frame_number,1383
wlan_ssid,915
wlan_bssid,852
radiotap_channel_flags_cck,737
frame_time_delta_displayed,567
frame_len,382
wlan_fcs_bad_checksum,365
frame_encap_type,171
wlan_fc_retry,163
wlan_fc_subtype,143
frame_time_epoch,126
udp_dstport,123
icmpv6_mldr_nb_mcast_records,114
wlan_radio_timestamp,105
wlan_fc_pwrmgt,92
wlan_fixed_capabilities_ess,82
tcp_flags_ack,51
nbns,49
ip_version,45
